,Média_1,Mediana_1,ValorPico_1,RMS_1,Kurtosis_1,Skewness_1,Média_2,Mediana_2,ValorPico_2,RMS_2,Kurtosis_2,Skewness_2,Média_3,Mediana_3,ValorPico_3,RMS_3,Kurtosis_3,Skewness_3,Média_4,Mediana_4,ValorPico_4,RMS_4,Kurtosis_4,Skewness_4,Média_5,Mediana_5,ValorPico_5,RMS_5,Kurtosis_5,Skewness_5,Média_6,Mediana_6,ValorPico_6,RMS_6,Kurtosis_6,Skewness_6,Média_7,Mediana_7,ValorPico_7,RMS_7,Kurtosis_7,Skewness_7,Média_8,Mediana_8,ValorPico_8,RMS_8,Kurtosis_8,Skewness_8,Média_9,Mediana_9,ValorPico_9,RMS_9,Kurtosis_9,Skewness_9,Hs,Tp,dir
417,2.81428366403518e-05,-1.4789888239362003e-13,0.0009427578683911045,0.0001783823759116031,13.767591999044672,3.409024034632863,-1.961867285030836e-05,-4.339186734274155e-15,0.0005098954685393777,0.00018718831749641137,16.452952858603844,-2.975916083873737,8.179391527528705e-05,6.551198215876572e-11,0.004659933692268307,0.0009931437812276435,13.805934483865219,0.4657525949101708,4.317156004328624e-05,1.6020081421414113e-09,0.0007038019271284068,0.00013507875698653935,12.715352851421907,3.593698162794015,0.0003332069755318176,2.838832192792715e-09,0.00860854045901833,0.0011884810795442383,27.688007150193243,4.85781042182428,0.0004195601832164993,5.542458072049184e-10,0.007317543799234378,0.0013955145908411339,14.067021989684978,3.7742132943966586,9.052001908591612e-05,1.0494663012576007e-12,0.0017945985313309858,0.0003175522504025358,16.461757068208914,4.058860046402367,3.854063430241508e-05,1.1386972559335465e-15,0.002231577727676437,0.0003775255250122151,19.034789938136417,2.920603596432556,5.236366976237357e-05,8.169809950444876e-12,0.002572939509288299,0.0006394429153415948,30.998308607460764,-2.6038353608277838,1.3713646,7.173456,344.5136
418,-0.0005045989416106266,6.062891331267272e-12,0.006657297232357669,0.004196529926877967,31.840272994969332,-5.451602165365705,0.00012026625085272725,2.6260996848141875e-13,0.005735721079171142,0.0010477957205923534,16.37188273482893,3.637821748330527,-0.0005971309370572859,6.513360385655158e-11,0.004687220195239629,0.004194205277260953,28.34036911463662,-5.179056260121773,0.0019193152024046375,1.4864752717864018e-06,0.024311318728787303,0.005236972493682458,9.595093243419624,3.1288889298256923,0.006742284048843974,8.194982114172298e-09,0.15672450332874432,0.027171089096986626,18.4795392245,4.364129825544307,0.0003363431326323589,6.24496191836495e-09,0.007833601989366404,0.0011413682450523244,23.61090040587986,4.567055605600766,0.0023758109104687346,2.279744314062508e-09,0.0444538528122172,0.008125867239939187,16.006282513021084,3.9861825097661963,0.00023882826087435444,2.249547230558078e-13,0.006617544862101588,0.0015682977884471667,15.48307527465354,-0.41389419094549024,-0.00044836279330291517,4.431391798287649e-12,0.001718780480511637,0.0028043110206224984,28.838741753706465,-5.3767229838077215,1.61224,7.9473996,239.75598
419,-1.0322792926450445e-05,-5.243235333553707e-13,0.00014999794310311578,5.772871954849076e-05,20.930897305902345,-4.0930026889405,1.0884227960788232e-05,-3.5422900127615337e-16,0.0004474230610493719,6.702711953872021e-05,26.54478787346527,4.841601367426993,-1.4964854991408302e-05,1.4266402161708197e-12,0.00018107931703099448,0.00010234189654199309,42.360317512266896,-6.222810353172597,8.292028108650689e-05,1.8816225115277556e-09,0.001215386907886005,0.0002407539166206534,10.52860224087896,3.2621317484506194,6.936977044832667e-05,2.8559064451264045e-09,0.0021514680874431496,0.00027736438880876486,37.479364166466944,5.765766994514709,2.1080228621365256e-05,1.5185003877446758e-10,0.00041558343687321433,7.129364801946197e-05,16.570721196179235,3.9973922959575803,-5.4422864119631815e-05,-7.281706718458275e-14,2.254231197253043e-06,0.0001730386982335496,10.751628806061678,-3.390026519845781,9.233055295096277e-06,-6.653178600311875e-16,0.00042546172995233645,8.025613606526679e-05,12.333598862064205,2.276359167616184,1.3186831912879517e-06,-4.748168356974804e-12,0.0003295041358391838,7.230698521899197e-05,26.912092540641076,-1.493906637129877,0.93462366,6.647166,139.06393
420,-0.00022566443704229164,5.882876715857648e-13,0.0007863149912783221,0.0011952820686161496,27.487764248924808,-5.2086752069483575,-0.0001909194377913555,-8.199578173523229e-14,0.0008046718587259645,0.000946893496899009,20.03906216481547,-4.491793951528719,0.0002095304210218302,2.3450596694310793e-11,0.014347502080034354,0.002781457264316014,11.47506826741308,0.9549807943416719,0.00018555835728037393,4.047065700894123e-08,0.0037112601802891717,0.000650376604321594,19.32284539701079,4.358687687082355,0.0011305642095216196,4.096675412817619e-09,0.035397098933609324,0.00450631703191276,38.08890351280164,5.753162744690956,0.0013711252101995042,3.743325176030867e-09,0.02510785219819991,0.004362767267621473,14.107629716376184,3.6755038198601397,-0.0002940452788678712,-1.447522160899004e-11,0.00015041469414551426,0.0011345886999359468,33.51434880438842,-5.359257138577769,6.681032088860695e-05,2.0927186442266764e-14,0.008033968359476545,0.0012571596572227702,20.77641284002542,2.9366875459411483,-0.00019897600145248656,6.832540322109334e-12,0.0037322373377149053,0.0031151845157356643,68.93354277465997,-7.93671139439644,1.7750336,7.5032845,25.572315
421,-0.0001506424925719526,2.616992464769622e-14,0.000515884586574613,0.0007168336839468314,15.96421690839734,-4.0808984950361165,7.181340412222287e-05,-7.268003188513172e-15,0.002660675093701003,0.0007806724103785587,6.772344101435323,-0.18197667620399993,0.0003140218294991062,3.37439438359864e-11,0.005317203449354989,0.0011142207098805167,10.304338444406246,3.0784965512795255,0.0008047913360132966,3.202922022775439e-08,0.010973260624570637,0.002237374973926798,8.291069781616747,2.9147603656217242,0.0006531709939088287,3.262755302373133e-09,0.009581089973546196,0.0020821891521119887,11.054185999386826,3.4571243518813186,0.0004081875672419569,2.7109317100463252e-09,0.003988422397783007,0.0010855006193147072,4.571186884177849,2.4384749644684383,-0.0005627062903669301,-3.575567308717159e-10,7.830294598157895e-06,0.0015320966796552459,4.852920346079173,-2.501050580698402,-0.0003882974216431628,4.585870150171573e-15,0.0013468583824342941,0.0012696994086671865,8.422241712580615,-2.965139625821311,-2.5187069786167923e-06,1.6428257404432796e-12,0.002297708225301415,0.0007738772860962165,20.063607371311402,-3.3130451207860703,1.5012772,6.97488,54.16934
422,0.0001569749787948647,6.4583164647374435e-12,0.016329014352482064,0.002084354875223227,37.01381202973138,4.7763825397895925,0.0004568279599302344,4.5480488558598e-15,0.01004743661911134,0.0017943805819345213,12.989382902333633,3.4941816232838634,-0.0008290850678511697,1.0775650927945583e-11,0.002691384191166435,0.004366121372979383,32.84578793830235,-5.676170913184681,0.0014786626270644602,6.195656835335248e-08,0.03267290541297231,0.004852789845215781,20.678617078500576,4.176998988417587,0.0035393272916550787,2.6383799536904164e-09,0.11588599634211613,0.01570434895698865,36.2766628916999,5.898567848597467,0.0005616766795915175,2.3022720907013894e-09,0.009522486858224035,0.0016596570029587642,13.825703838854185,3.601753657612333,-0.001621309695298922,-1.3811425751160648e-10,1.191977963984021e-06,0.00582241794590884,20.964941551153277,-4.503540607946291,0.00020140886984498083,-9.246800243539725e-15,0.010812436275674058,0.0015574934029150217,30.009078039305656,4.955545167881404,0.0004222525709899086,1.1623646014268225e-12,0.006919784583117143,0.001370078748410871,11.047089300996097,3.24015361785716,0.92802674,8.01334,80.288124
423,-6.633201382805985e-05,1.1766770447220256e-12,0.001703335343526113,0.0007799510823788371,28.931228001948778,-4.410782769155614,0.0002478484959288549,1.252231808047091e-13,0.0059057655004365675,0.0009601654940648493,17.0813086385213,3.8751506167423013,-7.033072501207316e-05,1.3165273028070924e-10,0.002128632718170275,0.0011492614592395647,67.32873183738303,-7.531941462891637,0.0009259809732425879,1.1440017181539434e-07,0.01701684428960524,0.0030020674620936127,16.556890206047466,4.027488117267706,0.0008697019058477187,5.408866872760412e-09,0.02892463314814068,0.00368091698392847,39.6435254139183,6.0268488236506625,0.0002694441582667243,1.0440813002281279e-08,0.00477702272594223,0.0009186258723476946,14.591993943415108,3.8972288480610917,-0.0006529119892241779,-3.583885378656287e-11,3.321583285940849e-05,0.0023251871474365693,23.994298936488278,-4.673859371263366,5.841270038035554e-05,-3.343147366280329e-14,0.005863840047452256,0.0008527487123013331,25.10687813410822,3.480129768604893,9.033851257554835e-05,5.2863674855011075e-12,0.0038456528699325715,0.0007562766151285241,28.18672264160058,-1.3976001635219564,1.9734606,7.0193477,107.40474
424,1.8265576630761093e-05,-1.9759660365754787e-13,0.000825001486834407,0.00010557370866163698,39.706994438745426,6.113353357503906,4.2364720736513605e-06,-1.2933992587305996e-14,0.0005349475410985438,6.402225597906155e-05,46.34046928119611,6.1018987154403375,7.930190660534042e-05,2.8301162501147255e-11,0.00513943085171549,0.0008910332638504075,15.312050018737501,0.9363725363318407,6.219466657317013e-06,1.4585494117278717e-09,0.00012508158450700283,1.7446090570045094e-05,28.582781063174593,4.846510062736554,0.00035778171379857395,3.2790103330855287e-09,0.007818008926326555,0.0013297924125504157,20.515328386138385,4.499024068155373,0.0003680659803502499,5.901138604234029e-10,0.004450819001824365,0.0010613055320750986,6.059620680362178,2.7174247444454926,2.632192026577396e-05,1.292852795988554e-11,0.0005451950703386447,9.275498928003152e-05,18.704478513231937,4.266803049494032,5.549611651546316e-06,5.659581337746648e-15,0.00036931352814714946,8.161633541335377e-05,11.118626865764456,-0.08984838287698585,5.68929559663279e-06,1.6027205745188077e-11,0.001313528825143366,0.0004897808641472987,32.55340903214711,-4.6644994500370585,1.1188103,7.337043,355.72147
425,0.00022182155297303726,5.349696633409625e-12,0.008913349849129785,0.0011186874501816102,41.87558161214792,6.260234357420656,-0.00014634539905948352,4.246248532983656e-15,0.0005456212714697853,0.0008835534260276635,56.55916353481275,-7.245018473700319,-0.0008970458269037267,1.4914421276408215e-12,0.0012921142064594906,0.004910939487144396,56.092823930874296,-7.168082462508486,5.439146586520548e-05,6.319454865298786e-09,0.0016626045963255899,0.00022111839914227283,34.513363272175766,5.665993242783072,0.003556575578147324,5.028593021014878e-09,0.144322444298617,0.01850580050685008,41.41546064935004,6.311435688594696,0.0010755153790458845,1.8322219029468825e-09,0.04168324577813629,0.00515624306858631,43.29204365415139,6.3339675319988205,-0.0002432771037230734,-6.7480602096095066e-12,1.506008901141214e-05,0.0015923134295246384,74.48048607868114,-8.466683899717925,-3.9441414423381805e-05,-1.3119286635323665e-14,0.0028533358202366883,0.0005157019063865423,27.38239452283631,-1.8049730969525302,-0.0015343268586761533,-6.234073244130427e-12,0.000817217837279319,0.008260250740089037,41.2666623031434,-6.320722237425408,1.9427145,7.833168,165.8607
426,-5.348474026106593e-06,-5.778106076191178e-13,9.954263383081836e-05,4.0537670271120794e-05,16.682893521433037,-3.5061952378384422,6.05260482825099e-06,1.5401025497753567e-15,0.0002639847327193316,3.8158292249980214e-05,26.875015709797733,4.484632377209135,-3.352310424137411e-06,3.673688186978375e-12,0.00013297345713585395,6.147626302059671e-05,75.56793466989099,-8.150500247451019,5.288245490923805e-05,1.4750184259197878e-08,0.0007824715006054734,0.00014094843924951066,11.388893988763428,3.264610974601086,4.9440408993874305e-05,3.3959375894198895e-09,0.001957578062116536,0.00021772803543333418,62.966081278017086,7.503191335384559,1.2751519848955102e-05,1.829444621815277e-10,0.0002892797412604835,4.729405711743572e-05,20.196795104581877,4.436689874492194,-3.244941604329266e-05,-1.4725898188801876e-12,1.3076679400656812e-05,0.00010088196092580461,10.645522495295642,-3.3541515555281847,-5.986614981970709e-06,-1.1779196912304018e-15,0.00011999696729149954,4.011156100171056e-05,23.2628022225322,-4.068676567059248,-2.586346711966564e-06,-2.515809628515769e-13,0.00023495476287355458,6.058067945137689e-05,38.88150215971757,-4.256942671293113,1.0681529,6.5276003,151.59587
