feature,importance
Média_1,0.001021422921216607
Mediana_1,0.0
ValorPico_1,0.010155572096776606
RMS_1,0.0013559643060646709
Kurtosis_1,0.001258681045960238
Skewness_1,0.0011824937130362888
DesvioPadrão_1,0.0009598162493806908
Amplitude_1,0.0014855266366484178
Energia_1,0.0012550192190167672
Percentil25_1,0.00023804875168925217
Percentil75_1,0.0005749398808367019
Média_2,0.000757344572120174
Mediana_2,0.0
ValorPico_2,0.0007420815333358951
RMS_2,0.0005749779848839259
Kurtosis_2,0.0010361297310834262
Skewness_2,0.0011199154964696542
DesvioPadrão_2,0.000491818442792761
Amplitude_2,0.00039826287707303044
Energia_2,0.0003616281563948106
Percentil25_2,0.0004637713306128671
Percentil75_2,8.992426984883328e-06
Média_3,0.007197888141539906
Mediana_3,0.0
ValorPico_3,0.0018443635132688243
RMS_3,0.00751892220665257
Kurtosis_3,0.0009541784923290027
Skewness_3,0.0017901871761621523
DesvioPadrão_3,0.005617503638980305
Amplitude_3,0.0019404957365285462
Energia_3,0.007615006146784573
Percentil25_3,0.0
Percentil75_3,0.004000441207022069
Média_4,0.002649157098287033
Mediana_4,0.0007924079167711863
ValorPico_4,0.001154597274641307
RMS_4,0.00114833386279311
Kurtosis_4,0.00086965824646167
Skewness_4,0.0009278694474002603
DesvioPadrão_4,0.0012289449333013466
Amplitude_4,0.001223586317972506
Energia_4,0.0015489375850959333
Percentil25_4,0.0
Percentil75_4,0.00391554769450162
Média_5,0.004894855585146292
Mediana_5,0.00014692777502724183
ValorPico_5,0.015292201681734851
RMS_5,0.008943574044660427
Kurtosis_5,0.000698900374814631
Skewness_5,0.0008405850287096439
DesvioPadrão_5,0.007462864682572149
Amplitude_5,0.013944642529233229
Energia_5,0.005240805145420409
Percentil25_5,0.0
Percentil75_5,0.0008548792248522131
Média_6,0.0005032171742779439
Mediana_6,0.00020524663713389463
ValorPico_6,0.0005084112087800603
RMS_6,0.004169354484040525
Kurtosis_6,0.0008433890770683398
Skewness_6,0.0007953684120724263
DesvioPadrão_6,0.0007263371247115044
Amplitude_6,0.0008068652881494
Energia_6,0.0012475444644026144
Percentil25_6,0.0
Percentil75_6,0.0010558460328707441
Média_7,0.0010941629007793442
Mediana_7,0.0
ValorPico_7,0.0010241259139273707
RMS_7,0.12573887622686392
Kurtosis_7,0.0013441319016138527
Skewness_7,0.0009393838872816515
DesvioPadrão_7,0.1347262328096533
Amplitude_7,0.02098074575701673
Energia_7,0.15024132438064847
Percentil25_7,0.00018739926991484876
Percentil75_7,0.0005314518288143246
Média_8,0.0010499403583290547
Mediana_8,0.0
ValorPico_8,0.001001333498624083
RMS_8,0.0008721577832586572
Kurtosis_8,0.0012065800289563036
Skewness_8,0.001226313465807743
DesvioPadrão_8,0.0014232605999938742
Amplitude_8,0.000544708471936369
Energia_8,0.0007564201718819707
Percentil25_8,0.00024999716177647347
Percentil75_8,0.0004549457760576619
Média_9,0.0015739314493902561
Mediana_9,0.0
ValorPico_9,0.0007169225475683058
RMS_9,0.009538902134094671
Kurtosis_9,0.0010187979412241734
Skewness_9,0.003935966976001793
DesvioPadrão_9,0.0063552687544724375
Amplitude_9,0.0029060493607893324
Energia_9,0.008954271909208722
Percentil25_9,3.853871816695935e-05
Percentil75_9,0.0006536254746491982
Média_X,0.0006630110553125394
Mediana_X,0.0012569640144444159
Valor_de_Pico_X,0.006141764085996116
RMS_X,0.001417708843046378
Curtose_X,0.0013692295311116835
Assimetria_X,0.0011688340483540446
Desvio_Padrão_X,0.018446918653677
Amplitude_X,0.009184774116988224
Energia_X,0.0013316851692422786
Percentil_25_X,0.0007927488193330091
Percentil_75_X,0.002763001792282223
Média_Y,0.0005614810485196577
Mediana_Y,0.0008467357314958247
Valor_de_Pico_Y,0.013797603391053792
RMS_Y,0.0007261446561198023
Curtose_Y,0.0012534114036713223
Assimetria_Y,0.0010984903221731423
Desvio_Padrão_Y,0.019406478368489792
Amplitude_Y,0.010101517331915924
Energia_Y,0.0005646552023537766
Percentil_25_Y,0.0020231774464855848
Percentil_75_Y,0.001422652771543731
Média_Z,0.0530127976516835
Mediana_Z,0.0010678952505366185
Valor_de_Pico_Z,0.011441151405120675
RMS_Z,0.0007694172351479357
Curtose_Z,0.0010789457685510043
Assimetria_Z,0.0034106124972117812
Desvio_Padrão_Z,0.008182506816220004
Amplitude_Z,0.008904453277053822
Energia_Z,0.0009169370615017896
Percentil_25_Z,0.008013934881767621
Percentil_75_Z,0.013789429269636767
Média_X-X,0.00099492632821828
Mediana_X-X,0.0010369816170895006
Valor_de_Pico_X-X,0.00735456755786274
RMS_X-X,0.004358438976657308
Curtose_X-X,0.0012777872989635734
Assimetria_X-X,0.002610746348579287
Desvio_Padrão_X-X,0.009968142836735258
Amplitude_X-X,0.010087639855546473
Energia_X-X,0.005763470210029068
Percentil_25_X-X,0.03221226019231843
Percentil_75_X-X,0.02069078446919338
Média_Y-Y,0.0006218831010342972
Mediana_Y-Y,0.0005520833238209377
Valor_de_Pico_Y-Y,0.0009243760094237774
RMS_Y-Y,0.0009096260907590425
Curtose_Y-Y,0.0009579355214950338
Assimetria_Y-Y,0.0014093993942015583
Desvio_Padrão_Y-Y,0.0008222408585246945
Amplitude_Y-Y,0.002621902169532086
Energia_Y-Y,0.0008723119418966958
