feature,importance
Média_1,0.00043588467552311096
Mediana_1,0.0
ValorPico_1,0.0004831783975246068
RMS_1,0.0002057793004175981
Kurtosis_1,0.0010117351440335066
Skewness_1,0.0009083606925741292
DesvioPadrão_1,0.00020457067566102336
Amplitude_1,0.0002534034898176797
Energia_1,0.0002500980720940494
Percentil25_1,0.00039481775860790853
Percentil75_1,0.0011543125665026415
Média_2,0.0005250988738191998
Mediana_2,0.0
ValorPico_2,0.0014172331551673464
RMS_2,0.00030548218726438264
Kurtosis_2,0.0012105652884278663
Skewness_2,0.0010000450841014558
DesvioPadrão_2,0.0003591793322435148
Amplitude_2,0.0004127768853577392
Energia_2,0.00029745514388992793
Percentil25_2,0.0009233550582160877
Percentil75_2,2.6030269434782394e-05
Média_3,0.0011226288045042266
Mediana_3,0.0
ValorPico_3,0.004371761835555879
RMS_3,0.00037879758347786113
Kurtosis_3,0.0007809937201847797
Skewness_3,0.0010541174976159916
DesvioPadrão_3,0.0004609115850826045
Amplitude_3,0.0006760813871628522
Energia_3,0.0005959054610467694
Percentil25_3,0.0
Percentil75_3,0.0032105181862909617
Média_4,0.0003444232846213318
Mediana_4,0.00045525279342272033
ValorPico_4,0.00025580753304333396
RMS_4,0.0002229783863975018
Kurtosis_4,0.0007225540671639026
Skewness_4,0.0008550022776512081
DesvioPadrão_4,0.00021227581987631516
Amplitude_4,0.00022944883380740313
Energia_4,0.0002519497107478702
Percentil25_4,0.0
Percentil75_4,0.014276683684396893
Média_5,0.00042634363871675677
Mediana_5,3.5321912686310733e-05
ValorPico_5,0.00016451197045770803
RMS_5,0.00018478551549774543
Kurtosis_5,0.0007034467893131007
Skewness_5,0.0008451919841813264
DesvioPadrão_5,0.00020917803830507127
Amplitude_5,0.00022340354872149294
Energia_5,0.00022949295431933577
Percentil25_5,0.0
Percentil75_5,0.0008556968788576305
Média_6,0.0004650320969563049
Mediana_6,0.0004470080681002509
ValorPico_6,0.00024876578719847255
RMS_6,0.00025449915466385127
Kurtosis_6,0.0005656104184478745
Skewness_6,0.0005678702410966002
DesvioPadrão_6,0.00025830509569976735
Amplitude_6,0.00029514510984786086
Energia_6,0.0003253429590061685
Percentil25_6,0.0
Percentil75_6,0.0019710576071076194
Média_7,0.0003460297179364125
Mediana_7,0.0
ValorPico_7,0.00046941913361877045
RMS_7,0.00013315894543866638
Kurtosis_7,0.0013241049716661902
Skewness_7,0.0011339071828497021
DesvioPadrão_7,0.00019194718800583904
Amplitude_7,0.00023677125893164396
Energia_7,0.00015403445205672343
Percentil25_7,0.00029007890213650963
Percentil75_7,0.001002827737047456
Média_8,0.0007035306144466005
Mediana_8,0.0
ValorPico_8,0.0012371082672103094
RMS_8,0.00029819048566192576
Kurtosis_8,0.0010410192345930228
Skewness_8,0.0009681126336077936
DesvioPadrão_8,0.00023574715939672625
Amplitude_8,0.0005767029453379118
Energia_8,0.000510055757660525
Percentil25_8,0.00029608663666974626
Percentil75_8,0.0005120190129739164
Média_9,0.0002648247832989338
Mediana_9,0.0
ValorPico_9,0.000996577494950605
RMS_9,0.00025167988168103584
Kurtosis_9,0.0008816413194995496
Skewness_9,0.0007902204345864734
DesvioPadrão_9,0.0003185009632846075
Amplitude_9,0.0004129598731719213
Energia_9,0.00035012615623464276
Percentil25_9,0.0001454267470988174
Percentil75_9,0.0013431453700538634
Média_X,0.0005207252942713628
Mediana_X,0.0008162136896720842
Valor_de_Pico_X,0.0008970954452304245
RMS_X,0.0006493190744351887
Curtose_X,0.0012402260426375021
Assimetria_X,0.0013845800866459142
Desvio_Padrão_X,0.0014125267086316194
Amplitude_X,0.0011636629900343273
Energia_X,0.0005558300146068794
Percentil_25_X,0.0008836142088115533
Percentil_75_X,0.0007850775602451726
Média_Y,0.009807099287077011
Mediana_Y,0.006237880751627193
Valor_de_Pico_Y,0.0519144106868177
RMS_Y,0.007317349353532396
Curtose_Y,0.00126144141431809
Assimetria_Y,0.0016589008322334662
Desvio_Padrão_Y,0.23841824668597322
Amplitude_Y,0.5358510365083103
Energia_Y,0.0072692455296854055
Percentil_25_Y,0.003756188269402825
Percentil_75_Y,0.0027518735672760427
Média_Z,0.0008764308673898785
Mediana_Z,0.00103725366062391
Valor_de_Pico_Z,0.00037466480184270457
RMS_Z,0.0005827813400926935
Curtose_Z,0.001342603575346546
Assimetria_Z,0.0011157665749186355
Desvio_Padrão_Z,0.0006127226048679775
Amplitude_Z,0.0005199507573951307
Energia_Z,0.0006343730633791074
Percentil_25_Z,0.000452994133144611
Percentil_75_Z,0.0003588136387144894
Média_X-X,0.0007794309187703986
Mediana_X-X,0.0010060908657008663
Valor_de_Pico_X-X,0.0007250443864383548
RMS_X-X,0.0004919216233442169
Curtose_X-X,0.0014446182880451124
Assimetria_X-X,0.0013786630968175195
Desvio_Padrão_X-X,0.0006154133900304699
Amplitude_X-X,0.0006380192782239623
Energia_X-X,0.0008062732536514569
Percentil_25_X-X,0.0006651806120429582
Percentil_75_X-X,0.0009526577691841629
Média_Y-Y,0.01104283717312768
Mediana_Y-Y,0.0013895511733206414
Valor_de_Pico_Y-Y,0.0006339893733833038
RMS_Y-Y,0.0005727680823414611
Curtose_Y-Y,0.0010044109380363123
Assimetria_Y-Y,0.0013289030272271782
Desvio_Padrão_Y-Y,0.0004920242089442458
Amplitude_Y-Y,0.000607344831667801
Energia_Y-Y,0.0005724851802883857
Percentil_25_Y-Y,0.0006910145297785683
Percentil_75_Y-Y,0.0003999749826302195
Média_Z-Z,0.0003868054054637761
Mediana_Z-Z,0.0006101200561970364
